建案名稱,總價,格局/地坪,建坪,位置,網站
知見築,"1,018~1,488萬",35.96~37.54,位址:,台南市南區萬年二街128巷17號,https://tainan.housetube.tw/47292
福祿樂活,"1,018~1,488萬",23~30,位址:,學甲區育德路153號,https://tainan.housetube.tw/47278
賦邑,"2,158~2,188萬",70,安南區安佃二街211、213號,安南區安佃二街211、213號,https://tainan.housetube.tw/47237
晨愛邑15,"1,680~1,980萬",51~60,台南市善化區六分寮415號,台南市善化區六分寮415號,https://tainan.housetube.tw/47220
統翔．慕光里,"1,266萬起",位址:,首購,台南市佳里區佳西路482號對面,https://tainan.housetube.tw/47197
良勳101,"1,266萬起",24~43,怡中段931地號,怡中段931地號,https://tainan.housetube.tw/47195
靜觀,"1,266萬起",43~46,台南市下營區寮前一街58巷,台南市下營區寮前一街58巷,https://tainan.housetube.tw/47102
煌聖·迎曦,"1,480萬",24.89~37.69,台南市新市區新北段0066地號,台南市新市區新北段0066地號,https://tainan.housetube.tw/47068
多財多億2,"1,480萬",21~28,位址:,台南市安南區安和路一段450號,https://tainan.housetube.tw/47056
傳承22,"1,480萬",47.5~67.2,台南市關廟區東安街156巷,台南市關廟區東安街156巷,https://tainan.housetube.tw/47008
大河佃,"3,980萬起",90~113,安南區海東ㄧ街,安南區海東ㄧ街,https://tainan.housetube.tw/46933
鼎旺in-1,58.3~62萬/坪,25.07~35.11,台南市東區中華東路二段,台南市東區中華東路二段,https://tainan.housetube.tw/46922
豐悅永榮,"1,278萬起",94,永康區永榮三街59號,永康區永榮三街59號,https://tainan.housetube.tw/46909
怡華好美,"1,278萬起",44~68,台南市下營區大孝街(下營活動中心對面),台南市下營區大孝街(下營活動中心對面),https://tainan.housetube.tw/46905
世界南科B,"1,999~3,399萬",28~35,新市區富中路與富安七街口,新市區富中路與富安七街口,https://tainan.housetube.tw/46903
辰御本是,"1,999~3,399萬",43~48,西港區港東段2006地號,西港區港東段2006地號,https://tainan.housetube.tw/46890
大富佳來廠辦,"1,999~3,399萬",未提供,台南市麻豆區苓子林三街365號,台南市麻豆區苓子林三街365號,https://tainan.housetube.tw/46888
珍.璽,"1,188萬起",54.84~67,台南市學甲區大灣段1310地號,台南市學甲區大灣段1310地號,https://tainan.housetube.tw/46852
尚義峰碩6,None,位址:,明星學區,未提供,https://tainan.housetube.tw/46809
保虹禾苑,"1,680~2,180萬",60.12~70.92,台南市安定區蘇安段788地號,台南市安定區蘇安段788地號,https://tainan.housetube.tw/46783
御善佳居III,"2,780萬",位址:,預售,台南市佳里區光明街,https://tainan.housetube.tw/46734
幸福IDO,"2,780萬",位址:,最新推案,台南市安定區蘇厝蘇林里112之2號旁,https://tainan.housetube.tw/46733
佳佳園3,"2,780萬",位址:,預售,未提供,https://tainan.housetube.tw/46684
泰美.3,"2,780萬",53.26~63.31,台南市永康區永春街 108 巷 11 號旁,台南市永康區永春街 108 巷 11 號旁,https://tainan.housetube.tw/46675
風和欣邑,"2,188~2,698萬",未提供,關廟區新埔二街72巷20號,關廟區新埔二街72巷20號,https://tainan.housetube.tw/46662
嘉仁鈺邸3,"2,188~2,698萬",60,海寮203-8號,海寮203-8號,https://tainan.housetube.tw/46616
吾居樹10,"2,188~2,698萬",94,台南市東區仁東街97-1號,台南市東區仁東街97-1號,https://tainan.housetube.tw/46614
天璽8,"2,188~2,698萬",未提供,位址:,新化區正新北路91號,https://tainan.housetube.tw/46514
月津帝居,"728~1,135萬",50.04~66.88,台南市鹽水區歡雅段0222-0015地號,台南市鹽水區歡雅段0222-0015地號,https://tainan.housetube.tw/46451
安居樂業．永康富強,"728~1,135萬",21~31.34,台南市永康區富強路二段357號旁,台南市永康區富強路二段357號旁,https://tainan.housetube.tw/46424
佳好森活,"1,238萬起",47~48,台南市佳里區塭子內131之1,台南市佳里區塭子內131之1,https://tainan.housetube.tw/46070
寶佳,"1,398~1,598萬",51.72~56.14,台南市佳里區頂廍56-1號,台南市佳里區頂廍56-1號,https://tainan.housetube.tw/46061
多財多億,"3,688~4,098萬",40.2~46.5,位址:,安南區長溪路一段257號,https://tainan.housetube.tw/46042
金艷富邸12,"1,280~1,988萬",46.18~63.28,麻豆區大程段900地號,麻豆區大程段900地號,https://tainan.housetube.tw/45783
清自朗,32萬/坪起,位址:,預售,未提供,https://tainan.housetube.tw/45722
熊大心NO.3,32萬/坪起,位址:,預售,台南市歸仁區大吉二街,https://tainan.housetube.tw/45718
皇邑,623萬起,23~35,台南市新化區那拔林557-0005等16筆地號,台南市新化區那拔林557-0005等16筆地號,https://tainan.housetube.tw/45692
昶瓏織築,623萬起,60,官田區工社西街3巷,官田區工社西街3巷,https://tainan.housetube.tw/45562
金色風采15,623萬起,48.75~67.43,下營區忠孝街15號隔壁,下營區忠孝街15號隔壁,https://tainan.housetube.tw/45468
五十皇冠6,623萬起,位址:,景觀宅,安定區港子尾段89地號,https://tainan.housetube.tw/45433
金艷富邸10-七股區,"988~1,258萬",40.23~52.22,台南市七股區樹林段0480-007地號,台南市七股區樹林段0480-007地號,https://tainan.housetube.tw/45265
麻豆蒔上,26萬/坪起,位址:,預售,麻豆區民族路57號旁,https://tainan.housetube.tw/45255
煌聖·森友旭,26萬/坪起,位址:,首購,台南市新市區大營段3037-4地號,https://tainan.housetube.tw/45244
藏春,26萬/坪起,位址:,明星學區,台南市新營區大德街105號旁,https://tainan.housetube.tw/45242
永康天母3,"2,788~3,588萬",63~70,永康區永大路二段952巷22號,永康區永大路二段952巷22號,https://tainan.housetube.tw/45139
太齊揚揚,"2,200萬起",41~51,台南市佳里區番仔寮95號對面,台南市佳里區番仔寮95號對面,https://tainan.housetube.tw/45123
綠品苑2-透天,"2,200萬起",76~93,麻豆區民族路57號旁,麻豆區民族路57號旁,https://tainan.housetube.tw/45112
九份樂活居5,None,66~117,永續二十街、永續二十二街口,永續二十街、永續二十二街口,https://tainan.housetube.tw/45011
連建拾初,None,25~46,位址:,郡安路六段(國安段1526等地號),https://tainan.housetube.tw/44913
花田墅,"1,638萬起",47~51,歸仁區七甲一街40號,歸仁區七甲一街40號,https://tainan.housetube.tw/44906
一字寬,27萬起,22~45,台南市國安段1613地號,台南市國安段1613地號,https://tainan.housetube.tw/44814
為有巢-竹橋2,27萬起,32~33,七股區竹橋,七股區竹橋,https://tainan.housetube.tw/44803
國圖好境,27萬起,位址:,近公園,新營區金華路周武街路口,https://tainan.housetube.tw/44665
琉星,43萬起,位址:,低總價,台南市中西區康樂街,https://tainan.housetube.tw/44650
皇龍天品,43萬起,29~46,台南市永康區忠孝一路,台南市永康區忠孝一路,https://tainan.housetube.tw/44637
卓悅No7,"2,798萬起",36~37,位址:,台南市安定區安定29-6號 (安加五金百貨對面),https://tainan.housetube.tw/44636
光建築3,705~875萬,位址:,首購,關廟區花園二街,https://tainan.housetube.tw/44625
信耘登悅,719~813萬,位址:,首購,台南市安南區安佃八街25號,https://tainan.housetube.tw/44541
吾映良品19,"938~1,488萬",44~56,台南市佳里區新安段477地號,台南市佳里區新安段477地號,https://tainan.housetube.tw/44466
天闊,"463~1,209萬",位址:,景觀宅,新化區崙子頂117號對面,https://tainan.housetube.tw/44436
誠銳家和樂,622~751萬,40~49,台南市官田區鎮中路,台南市官田區鎮中路,https://tainan.housetube.tw/44416
晴空樓5,622~751萬,19.56~21.78,台南市永康區文賢街387號對面,台南市永康區文賢街387號對面,https://tainan.housetube.tw/44307
薈萃居7,None,38~66,位址:,台南市安南區永續二十二街(國安段1590地號),https://tainan.housetube.tw/44301
世界南科A,None,未提供,新市區富中街66號旁,新市區富中街66號旁,https://tainan.housetube.tw/44218
三河院,"3,380萬起",86.8,宜居二路189號,宜居二路189號,https://tainan.housetube.tw/44146
禾居3,498~778萬,位址:,近公園,台南市關廟區大仁街319號旁,https://tainan.housetube.tw/44056
12平均律,498~778萬,位址:,低總價,台南市麻豆區安業段0256-0010地號,https://tainan.housetube.tw/44029
家多美8,730萬起,位址:,首購,佳里區子龍一街,https://tainan.housetube.tw/43972
築東京,730萬起,位址:,預售,安定港口251-5號（後方）,https://tainan.housetube.tw/43951
安新家I,730萬起,位址:,精品文旅宅,台南市佳里區佳里興,https://tainan.housetube.tw/43826
經典佳2,"1,280~1,775萬",39.6~57.23,台南市仁德區田厝二街64巷,台南市仁德區田厝二街64巷,https://tainan.housetube.tw/43824
宜田頤恬,683~753萬,位址:,低總價,安定區中榮段234地號,https://tainan.housetube.tw/43822
心程市,"1,068萬起",位址:,首購,台南市新市區潭頂區317號之１,https://tainan.housetube.tw/43811
閎富御品,"1,068萬起",28.85起,位址:,東山區新東路2段31號,https://tainan.housetube.tw/43791
MoMA18,"818~1,318萬",26.03~34.66,台南市歸仁區大順街與大順三街,台南市歸仁區大順街與大順三街,https://tainan.housetube.tw/43740
南科心集,None,位址:,首購,安定區新庄段523地號,https://tainan.housetube.tw/43674
32泊,None,位址:,首購,安定區海安段162地號,https://tainan.housetube.tw/43672
太穩森活,None,位址:,首購,台南市南區大同路二段482巷,https://tainan.housetube.tw/43622
御滿瑭,None,72.58,台南市柳營區柳營路二段438號,台南市柳營區柳營路二段438號,https://tainan.housetube.tw/43578
淳仰律,"4,680萬",51~91,安南區樂活五街,安南區樂活五街,https://tainan.housetube.tw/43565
君邦逸品,"4,680萬",位址:,首購,台南市善化區茄拔段一小段756-2地號,https://tainan.housetube.tw/43546
沐之森2,"4,680萬",98,台南市永康區崑山街203巷32號,台南市永康區崑山街203巷32號,https://tainan.housetube.tw/43153
植建築2,30~32萬/坪,位址:,近公園,安南區安生街,https://tainan.housetube.tw/43123
金色風采12,684~875萬,位址:,首購,台南市安定區許中營24號對面,https://tainan.housetube.tw/43025
美夢成真NO.2,684~875萬,位址:,低自備,台南市麻豆區新生南路33巷,https://tainan.housetube.tw/42995
玉璽天下2璽福,"1,388~1,718萬",位址:,近公園,台南市玉井區和平街160巷,https://tainan.housetube.tw/42889
朝陽-聚紳鄰,"1,388~1,718萬",44~52,安南區安中路四段211巷62號,安南區安中路四段211巷62號,https://tainan.housetube.tw/42717
吉全双囍,"1,388~1,718萬",40~48,台南市安南區安中路四段210巷,台南市安南區安中路四段210巷,https://tainan.housetube.tw/42683
皇邑,654~900萬,位址:,預售,善化區成功路小新營5-12號,https://tainan.housetube.tw/42666
澄田上品硯,31~33萬/坪,31~39,臺南市新市區南港街＆南昌街,臺南市新市區南港街＆南昌街,https://tainan.housetube.tw/42573
南科富境,31~33萬/坪,位址:,成屋,台南市新市區大社段2055地號,https://tainan.housetube.tw/42473
理白,45萬/坪,位址:,預售,台南市東區文化一街,https://tainan.housetube.tw/42374
日初莊園,"800~1,200萬",位址:,景觀宅,台南市安定區港口1-25號旁,https://tainan.housetube.tw/42337
陶喜LIHO5,None,位址:,…,台南市安定區港口段3212地號,https://tainan.housetube.tw/42332
為有巢-公塭3,960萬起,47.4,台南市安南區公學路五段363巷36弄,台南市安南區公學路五段363巷36弄,https://tainan.housetube.tw/42269
遠見2,960萬起,未提供,位址:,台南市台南市佳里區光復路70號旁(舊阿忠牛排旁),https://tainan.housetube.tw/42253
承安永平9,960萬起,位址:,首購,台南市佳里區六安街,https://tainan.housetube.tw/42200
大京藏5,960萬起,位址:,首購,台南市佳里區文化路,https://tainan.housetube.tw/42186
承安永平7,960萬起,位址:,首購,台南市善化區小新營111-3號旁,https://tainan.housetube.tw/42134
佳順大順,960萬起,24~44,歸仁九路(台糖循環住宅東側),歸仁九路(台糖循環住宅東側),https://tainan.housetube.tw/42114
宇成植感,960萬起,25~35,台南市善化區成功路169巷,台南市善化區成功路169巷,https://tainan.housetube.tw/42107
崇品VIP,960萬起,未提供,永康區龍中街,永康區龍中街,https://tainan.housetube.tw/42031
和紘新東琚,960萬起,位址:,首購,崇德路與保生路路口,https://tainan.housetube.tw/42020
誠銳天藝,960萬起,位址:,明星學區,佳里區光華街22巷與公園路口,https://tainan.housetube.tw/41969
河睦,960萬起,23~39,台南市國安段1553地號,台南市國安段1553地號,https://tainan.housetube.tw/41855
常慶天目,960萬起,25~46,台南市善化區中山路467號,台南市善化區中山路467號,https://tainan.housetube.tw/41816
臻藏詠潤,960萬起,位址:,明星學區,台南市安平區建平七街453巷76號對面,https://tainan.housetube.tw/41797
奇詮齊全2,960萬起,位址:,首購,臺南市善化區茄拔段一小段1370地號,https://tainan.housetube.tw/41683
邰欣地堡70,None,26.62~36.42,台南市東區仁和路 x 德祥街,台南市東區仁和路 x 德祥街,https://tainan.housetube.tw/41608
青日朗朗,"1,399萬起",45~100,官田區信義街二段,官田區信義街二段,https://tainan.housetube.tw/41601
仙盈大鎮,"1,788~2,558萬",80~116,台南市鹽水區蔦松路201巷（12米道路）91號,台南市鹽水區蔦松路201巷（12米道路）91號,https://tainan.housetube.tw/41575
幸福邸家,26~29萬/坪,53.73~65.49,台南市關廟區北安二街,台南市關廟區北安二街,https://tainan.housetube.tw/41424
高第璞璞,26~29萬/坪,23~24,台南市新市區大社段2112號,台南市新市區大社段2112號,https://tainan.housetube.tw/41373
宜田宜居NO.11,"1,058萬起",未提供,位址:,台南市西港區溪埔寮13-1號旁,https://tainan.housetube.tw/41351
淳境九份子,"5,888萬",107,樂活路/樂活10街,樂活路/樂活10街,https://tainan.housetube.tw/41190
頂寶NO.1,525~725萬,位址:,近高速公路,台南市新營區北紙段136地號,https://tainan.housetube.tw/41131
市中心,"1,288萬起",25.4~34,位址:,台南市新營區長春街37號,https://tainan.housetube.tw/41052
璞日,31~38萬/坪,33~54,宜居路、郡安路六段路口,宜居路、郡安路六段路口,https://tainan.housetube.tw/41036
花現關廟,31~38萬/坪,位址:,首購,關廟崇平路118號旁,https://tainan.housetube.tw/40961
謙福3,31~38萬/坪,未提供,位址:,台南市安南區安中路四段225號,https://tainan.housetube.tw/40960
湁韻,31~38萬/坪,位址:,近公園,台南市中西區南華街與武英街路口,https://tainan.housetube.tw/40924
東拾麗緻15,31~38萬/坪,49~98,台南市新化區大智路7-11星辰門市旁,台南市新化區大智路7-11星辰門市旁,https://tainan.housetube.tw/40899
東都綠學,31~38萬/坪,24~44,台南市仁德區崇聖路一段、保仁路口(仁和國小旁),台南市仁德區崇聖路一段、保仁路口(仁和國小旁),https://tainan.housetube.tw/40876
品學苑3,None,未提供,位址:,麻豆區自由路、新生北路308巷路口,https://tainan.housetube.tw/40719
林森薈,"4,988萬",未提供,台南市新營區開元路103巷,台南市新營區開元路103巷,https://tainan.housetube.tw/40628
公園帝寶10,"4,988萬",位址:,預售,台南市佳里區佳東段340號(地號),https://tainan.housetube.tw/40576
府都WE,"4,988萬",未提供,臺南市安南區海佃路一段158巷,臺南市安南區海佃路一段158巷,https://tainan.housetube.tw/40474
府都one+,"4,988萬",未提供,建平九街、建平九街60巷、建平八街,建平九街、建平九街60巷、建平八街,https://tainan.housetube.tw/40472
聯慧.耘富,"4,988萬",35.25,位址:,台南市南區萬年五街346號,https://tainan.housetube.tw/40467
自然興,"4,988萬",123,台南市安南區培安路195巷,台南市安南區培安路195巷,https://tainan.housetube.tw/40443
安建築3,846~928萬,位址:,預售,歸仁區大仁街,https://tainan.housetube.tw/39651
金色風采11,19.4~22.1萬/坪,27.8~33.1,位址:,臺南市西港區後營299-2號旁,https://tainan.housetube.tw/38958
璞真3,19.4~22.1萬/坪,43~57,佳里區外渡頭1-3號旁,佳里區外渡頭1-3號旁,https://tainan.housetube.tw/38832
元翰門,19.4~22.1萬/坪,56~110,台南市安平區國平南路(漁光段893地號),台南市安平區國平南路(漁光段893地號),https://tainan.housetube.tw/38766
誠銳天玥,19.4~22.1萬/坪,22~35,佳里區中山路安仔牛肉爐旁,佳里區中山路安仔牛肉爐旁,https://tainan.housetube.tw/38663
和謙,26~28萬/坪,26~40,台南市仁德區德崙路,台南市仁德區德崙路,https://tainan.housetube.tw/38268
信美明日絵,"7,880萬",位址:,景觀宅,台南市安南區安中路二段71巷50號,https://tainan.housetube.tw/38247
寬薪園9期,"7,880萬",23~32,位址:,學甲區寶發路182號前,https://tainan.housetube.tw/38158
原砌15,"7,880萬",81,位址:,永康區龍埔街100號,https://tainan.housetube.tw/37991
森安邦,33萬/坪起,位址:,預售,中華西路一段50巷口,https://tainan.housetube.tw/37756
天器11,"2,388萬",46.9~65,安南區海環街526號旁,安南區海環街526號旁,https://tainan.housetube.tw/37330
市政阿曼,1250萬/坪起,21~37,台南市安平區永華路二段391號,台南市安平區永華路二段391號,https://tainan.housetube.tw/37193
惠丞大謙,1250萬/坪起,57~67,東門路三段81號,東門路三段81號,https://tainan.housetube.tw/37019
白京幸之住,1250萬/坪起,位址:,成屋,東區德昌路87號,https://tainan.housetube.tw/35834
健康首席,"10,888萬",120.48,位址:,台南市南區健康路二段467號,https://tainan.housetube.tw/35278
景泰然,"12,000萬",29~47,安平區永華六街,安平區永華六街,https://tainan.housetube.tw/35163
邰欣地堡67,"12,000萬",位址:,明星學區,台南市安南區永續十八街,https://tainan.housetube.tw/35155
居賢林園,"12,000萬",82.8~152.8,善化區公園路20號,善化區公園路20號,https://tainan.housetube.tw/33657
白平衡,"12,000萬",119.5~124.8,湖美街91號,湖美街91號,https://tainan.housetube.tw/33086
八方美術館,"12,000萬",未提供,位址:,友愛街 • 忠義路口,https://tainan.housetube.tw/32756
成大．寶仁,26~32萬/坪,位址:,預售,開南街,https://tainan.housetube.tw/32752
允將花園城市,26~32萬/坪,20~37,北區海安路與立賢路口,北區海安路與立賢路口,https://tainan.housetube.tw/32696
水雲川,26~32萬/坪,位址:,成屋,709台南市安南區永續十八街2號,https://tainan.housetube.tw/32451
梅菲爾,"3,888萬起",65,台南市安平區國平路、平通路口,台南市安平區國平路、平通路口,https://tainan.housetube.tw/30543
喆大成,"5,488~8,288萬",148~177,台南市東區裕忠路372號,台南市東區裕忠路372號,https://tainan.housetube.tw/30358
海灣Villa CEO會館2,"7,600萬起",180~215,本田路二段,本田路二段,https://tainan.housetube.tw/29701
巴黎16區II,"12,899萬",250,台南市安平區育平路413號,台南市安平區育平路413號,https://tainan.housetube.tw/29531
帝凡內,"6,900萬起",位址:,成屋,台南市北區中華北路一段78巷與武聖路口,https://tainan.housetube.tw/25652
八富-莊園8,"6,900萬起",146~150,館前街73巷1號,館前街73巷1號,https://tainan.housetube.tw/20453
湖美帝堡,"1,588~1,880萬",位址:,,台南市中西區和緯路五段87號,https://tainan.housetube.tw/17143
藏悅,"1,588~1,880萬",未提供,未提供,未提供,https://tainan.housetube.tw/47852
儷城欣欣5,"1,588~1,880萬",54.9~63.1,歸仁區保順路二段73號,歸仁區保順路二段73號,https://tainan.housetube.tw/47800
上上富自強,"2,880萬起",未提供,位址:,台南市永康區自強路上 (自強段256地號),https://tainan.housetube.tw/47796
松濤舘8,"2,880萬起",89~95,台南市新營區東平街21號,台南市新營區東平街21號,https://tainan.housetube.tw/47691
築秀山水匯,"888~1,088萬",未提供,楠西區民族路259號,楠西區民族路259號,https://tainan.housetube.tw/47663
家薪7,898~936萬,40.31~40.54,海澄里番子寮41號旁,海澄里番子寮41號旁,https://tainan.housetube.tw/47638
藏樂居,"818~1,158萬",位址:,低總價,歸仁區中正北路二段394巷17號,https://tainan.housetube.tw/47632
森柏1,"1,780萬起",51~61,台南市學甲區中華路二段245號,台南市學甲區中華路二段245號,https://tainan.housetube.tw/47622
太齊朗朗,"1,780萬起",69,七股區大寮35-2號（大寮社區活動中心正對面）,七股區大寮35-2號（大寮社區活動中心正對面）,https://tainan.housetube.tw/47612
禾園悅舍10,"4,288萬起",96.8,台南市南區鯤鯓路2-27號,台南市南區鯤鯓路2-27號,https://tainan.housetube.tw/47558
緯綸尊邸2,"3,760~3,980萬",100~110,台南市安南區海中街774巷53.55號,台南市安南區海中街774巷53.55號,https://tainan.housetube.tw/47552
鎮瀛御院,"1,688~1,988萬",43~51,佳里區番子寮,佳里區番子寮,https://tainan.housetube.tw/47529
巨翰天禧II,"3,788萬起",78.26~78.49,台南市安平區永華11街49巷57號,台南市安平區永華11街49巷57號,https://tainan.housetube.tw/47488
摩斯-公學院,"1,260萬起",未提供,位址:,安南區公學路六段629-635號,https://tainan.housetube.tw/47443
晶站,"1,260萬起",17~28,位址:,塩水區四維路66號,https://tainan.housetube.tw/47436
雍閣,"2,640~2,880萬",73~82,台南市新營區金華路二段159號1樓之1,台南市新營區金華路二段159號1樓之1,https://tainan.housetube.tw/47404
青天UI,950萬起,17.42~21.52,台南市中西區友愛東街45號旁,台南市中西區友愛東街45號旁,https://tainan.housetube.tw/47397
永康天母5,"2,718~2,988萬",64.51~70.57,台南市永康區永大路二段900巷,台南市永康區永大路二段900巷,https://tainan.housetube.tw/47384
甜蜜家源,"1,660萬",56~60,山上區山上212-5(山上區農會後面),山上區山上212-5(山上區農會後面),https://tainan.housetube.tw/47383
世界之心,"1,265~1,472萬",20~37,台南市安南區科工段86地號,台南市安南區科工段86地號,https://tainan.housetube.tw/47379
呈豐日日36,"1,265~1,472萬",位址:,成屋,台南市仁德區德洋二街,https://tainan.housetube.tw/47330
心寬福邸No:8,"1,265~1,472萬",55~58,台南市山上區南州90-25,台南市山上區南州90-25,https://tainan.housetube.tw/47304
城西誠臻,998萬,41,安南區港仔西街19號,安南區港仔西街19號,https://tainan.housetube.tw/47244
良茂合心城-合美館,None,位址:,首購,台南市善化區什美段895地號,https://tainan.housetube.tw/47242
富筑,28.6萬/坪起,位址:,重劃區,安南區安佃八街10號,https://tainan.housetube.tw/47239
滿築,"1,880~3,688萬",69~126,台南市麻豆區真理段1201地號,台南市麻豆區真理段1201地號,https://tainan.housetube.tw/47151
桔緣6,"2,350~2,550萬",24~29,位址:,台南市安南區海佃路一段158巷,https://tainan.housetube.tw/47121
多采3,"1,658~1,998萬",64~71,隆田復興街222巷2號,隆田復興街222巷2號,https://tainan.housetube.tw/47111
閎景大院,664~792萬,43.55~44.27,台南市學甲區中華路二段175巷30弄6號,台南市學甲區中華路二段175巷30弄6號,https://tainan.housetube.tw/47077
双囍,664~792萬,位址:,低自備,台南市六甲區龜子港段0394-0003地號,https://tainan.housetube.tw/47071
新新深晴,31.7~33.1萬/坪,位址:,預售,台南市佳里區佛天段0348地號,https://tainan.housetube.tw/47067
真工會館2,31.7~33.1萬/坪,位址:,低自備,台南市善化區大同段0656地號,https://tainan.housetube.tw/47030
新新RVilla,"2,360萬起",未提供,未提供,未提供,https://tainan.housetube.tw/47021
騰太典藏6,"2,360萬起",51,安南區府安路七段93巷23號,安南區府安路七段93巷23號,https://tainan.housetube.tw/46995
晶典十三,"1,988~3,320萬",46.2~80.1,安南區安和路一段220巷,安南區安和路一段220巷,https://tainan.housetube.tw/46916
宇成植在,"3,198萬起",25~36,台南市善化區陽光北一路192巷5號（全家善化蓮潭店旁）,台南市善化區陽光北一路192巷5號（全家善化蓮潭店旁）,https://tainan.housetube.tw/46904
禾園悅舍9,"3,198萬起",91.8,仁德區保華路46巷8號,仁德區保華路46巷8號,https://tainan.housetube.tw/46837
呈豐日日30,"3,198萬起",未提供,未提供,未提供,https://tainan.housetube.tw/46811
